"id","listid","test_cue","typed_word","testRT","cue_output_order","cue_study_position","color_condition","cue_condition","presented_color","studyRT","resp","expect_test","use_help","recall_all_q","cue_prioritem","word_prioritem","cue_postitem","word_postitem","resp_study_position","resp_cond"
"19334",2,"bush","clown",8140.26500000211,1,18,"blue","process","red",1904.46700003219,"smaller","No","No","Yes","remember","tower","process","opera",25,"process"
"19334",2,"bush","tower",3847.85300002224,2,18,"blue","process","red",1904.46700003219,"smaller","No","No","Yes","remember","tower","process","opera",17,"remember"
"19334",2,"bridge","railroad",4859.05900000385,1,28,"blue","process","red",6230.11700003629,"smaller","No","No","Yes","remember","concert","remember","school",23,"remember"
"19334",2,"bridge","palace",2190.97800000454,2,28,"blue","process","red",6230.11700003629,"smaller","No","No","Yes","remember","concert","remember","school",22,"remember"
"19334",2,"bridge","",4931.49899999751,3,28,"blue","process","red",6230.11700003629,"smaller","No","No","Yes","remember","concert","remember","school",NA,NA
"19334",2,"cloud","clown",3934.69900004123,1,26,"blue","process","red",2263.79100003326,"smaller","No","No","Yes","process","clown","remember","concert",25,"process"
"19334",2,"cloud","fort",7144.95699999307,2,26,"blue","process","red",2263.79100003326,"smaller","No","No","Yes","process","clown","remember","concert",12,"remember"
"19334",2,"cloud","",883.576000014902,3,26,"blue","process","red",2263.79100003326,"smaller","No","No","Yes","process","clown","remember","concert",NA,NA
"19334",2,"brick","palace",6181.85700002976,1,30,"blue","remember","blue",1650.68399999605,"smaller","No","No","Yes","remember","school","remember","glove",22,"remember"
"19334",2,"brick","opera",3039.83000000357,2,30,"blue","remember","blue",1650.68399999605,"smaller","No","No","Yes","remember","school","remember","glove",19,"process"
"19334",2,"brick","",2733.08400003507,3,30,"blue","remember","blue",1650.68399999605,"smaller","No","No","Yes","remember","school","remember","glove",NA,NA
"19334",2,"circus","",11976.3539999874,1,2,"blue","remember","blue",3349.4270000023,"larger","No","No","Yes","remember","goose","remember","cabin",NA,NA
"19334",2,"palace","brick",3160.47400000982,1,22,"blue","remember","blue",1497.61200000136,"larger","No","No","Yes","process","ocean","remember","railroad",30,"remember"
"19334",2,"palace","fort",4157.21600003785,2,22,"blue","remember","blue",1497.61200000136,"larger","No","No","Yes","process","ocean","remember","railroad",12,"remember"
"19334",2,"palace","",4648.22100003588,3,22,"blue","remember","blue",1497.61200000136,"larger","No","No","Yes","process","ocean","remember","railroad",NA,NA
"19334",2,"brain","finger",3454.75300000166,1,4,"blue","remember","blue",1503.99700000579,"smaller","No","No","Yes","remember","cabin","process","finger",5,"process"
"19334",2,"brain","pin",3709.7680000012,2,4,"blue","remember","blue",1503.99700000579,"smaller","No","No","Yes","remember","cabin","process","finger",NA,NA
"19334",2,"brain","",4814.21200003941,3,4,"blue","remember","blue",1503.99700000579,"smaller","No","No","Yes","remember","cabin","process","finger",NA,NA
"19334",2,"train","pin",6230.27400000009,1,6,"blue","process","red",1694.98300001363,"larger","No","No","Yes","process","finger","process","bride",NA,NA
