"id","listid","eq_id","question","answer","duration","expect_test","use_help","cresp"
"188",1,1,"(2 + 3) * 4",20,4579.24799999304,"No","No",20
"188",1,2,"(5 + 3) / 4",2,3751.19300000404,"No","No",2
"188",1,3,"(2 + 2) * 16",64,4754.42399999627,"No","No",64
"188",1,4,"(6 + 6) / 3",4,6914.69299999555,"No","No",4
"188",1,5,"(21 + 12) / 11",3,3588.62900000333,"No","No",3
"188",1,6,"(23 - 17) / 6",1,3308.337999993,"No","No",1
"188",1,7,"(8 + 8) / 4",4,2520.13299999596,"No","No",4
"188",1,8,"(9 - 5) * 4",16,2761.87499999593,"No","No",16
"188",1,9,"(50 - 23) / 9",3,7277.30499999993,"No","No",3
"188",1,10,"(19 + 11) / 5",6,7525.50900000532,"No","No",6
"188",1,11,"(1 + 7) * 6",48,9890.68799999752,"No","No",48
"188",1,12,"(17 + 23) / 8",NA,3001.02900000173,"No","No",5
"188",2,1,"(4 + 3) * 4",48,5933.17200000491,"No","No",28
"188",2,2,"(5 + 3) / 4",2,2862.29200000665,"No","No",2
"188",2,3,"(2 + 2) * 16",64,3182.35799999698,"No","No",64
"188",2,4,"(7 - 4) * 8",24,5256.45400000073,"No","No",24
"188",2,5,"(11 + 23) * 3",102,7312.32499999693,"No","No",102
"188",2,6,"(13 + 23) * 2",62,7252.9439999992,"No","No",72
"188",2,7,"(3 + 9) * 2",24,3785.55599999591,"No","No",24
"188",2,8,"(7 + 8) * 3",45,3301.19200000435,"No","No",45
"188",2,9,"(3 + 3) * 3",18,3604.06299999461,"No","No",18
"188",2,10,"(7 + 2) * 8",72,3989.10799999442,"No","No",72
"188",2,11,"(6 + 6) * 6",72,6901.65000000212,"No","No",72
"188",2,12,"(2 + 5) * 2",14,5422.12300000608,"No","No",14
"188",2,13,"(3 + 3) / 2",NA,1038.37099999737,"No","No",3
"187",1,1,"(1 + 7) * 6",48,15112.7230006312,"No","No",48
"187",1,2,"(9 - 5) * 4",16,5988.69900081778,"No","No",16
"187",1,3,"(19 + 11) / 5",6,8796.23099979019,"No","No",6
"187",1,4,"(4 - 3) * 8",8,3888.15099967574,"No","No",8
"187",1,5,"(7 + 2) * 8",72,6438.945999733,"No","No",72
"187",1,6,"(2 + 5) * 2",14,4497.83499968529,"No","No",14
"187",1,7,"(12 - 3) / 3",3,5784.6180006974,"No","No",3
"187",1,8,"(4 + 3) * 9",63,6016.91599984386,"No","No",63
"187",1,9,"(3 + 3) / 2",NA,3255.42100083624,"No","No",3
"187",2,1,"(7 - 4) * 8",24,19352.3469991263,"No","No",24
"187",2,2,"(3 + 6) / 3",3,3123.4960009018,"No","No",3
"187",2,3,"(6 + 6) * 6",72,11217.5259992901,"No","No",72
"187",2,4,"(9 + 3) * 2",24,4890.5689997616,"No","No",24
"187",2,5,"(7 + 13) / 4",5,8011.47800067475,"No","No",5
"187",2,6,"(5 + 3) / 4",2,3109.53999938851,"No","No",2
"187",2,7,"(11 + 23) * 3",102,9463.48499935749,"No","No",102
"187",2,8,"(7 + 8) * 3",NA,655.661000802298,"No","No",45
"186",1,1,"(11 + 23) * 3",102,42063.0600000001,"No","No",102
"186",1,2,"(3 + 6) / 3",3,5452.09999999998,"No","No",3
"186",1,3,"(3 + 9) * 2",6,2334.12,"No","No",24
"186",1,4,"(7 + 13) / 4",5,2964.21999999997,"No","No",5
"186",1,5,"(13 + 23) * 2",18,4225.26000000001,"No","No",72
"186",1,6,"(2 + 2) * 16",NA,2556.23999999999,"No","No",64
"186",2,1,"(11 + 23) * 3",102,9952.66000000003,"No","No",102
"186",2,2,"(21 + 12) / 11",3,5202.19999999995,"No","No",3
"186",2,3,"(5 + 3) / 4",2,2802.97999999998,"No","No",2
"186",2,4,"(2 + 2) * 16",64,17604.3,"No","No",64
"186",2,5,"(23 - 17) / 6",1,3174.09999999998,"No","No",1
"186",2,6,"(45 - 23) / 11",2,21075.0600000001,"No","No",2
"185",1,1,"(45 - 23) / 11",2,15202.7159999788,"No","No",2
"185",1,2,"(3 + 3) * 3",18,4739.2219999771,"No","No",18
"185",1,3,"(19 - 4) * 5",75,12783.8609999778,"No","No",75
"185",1,4,"(4 + 3) * 4",28,11570.6869999809,"No","No",28
"185",1,5,"(21 - 9) / 4",3,9081.57699999056,"No","No",3
"185",1,6,"(7 + 8) * 3",NA,6575.8679999779,"No","No",45
"185",2,1,"(9 - 5) * 4",16,10262.0329999751,"No","No",16
"185",2,2,"(13 + 23) * 2",72,9837.04399998346,"No","No",72
"185",2,3,"(8 + 8) / 4",4,4153.8459999935,"No","No",4
"185",2,4,"(7 + 8) * 3",45,12643.9759999833,"No","No",45
"185",2,5,"(9 - 3) * 3",18,7805.25799999246,"No","No",18
"185",2,6,"(4 + 4) * 4",32,15034.9989999895,"No","No",32
"185",2,7,"(19 - 4) * 5",NA,195.74799999618,"No","No",75
"180",1,1,"(3 + 6) / 3",3,8228.02500002494,"No","No",3
"180",1,2,"(23 - 17) / 6",1,6717.09899999545,"No","No",1
"180",1,3,"(9 - 3) * 3",9,7597.70800000976,"No","No",18
"180",1,4,"(4 - 3) * 8",8,2872.60200003139,"No","No",8
"180",1,5,"(13 + 23) * 2",20,3764.33999998844,"No","No",72
"180",1,6,"(12 - 3) / 3",3,4528.18900000711,"No","No",3
"180",1,7,"(7 + 8) * 3",45,7157.64100001211,"No","No",45
"180",1,8,"(5 + 3) / 4",2,4202.60500004329,"No","No",2
"180",1,9,"(7 + 13) / 4",5,12698.5980000431,"No","No",5
"180",1,10,"(2 + 2) * 2",NA,2122.27600001666,"No","No",8
"180",2,1,"(4 + 3) * 4",28,9557.21099998895,"No","No",28
"180",2,2,"(4 + 4) * 4",49,5816.80100004049,"No","No",32
"180",2,3,"(3 + 3) * 8",NA,4029.25599999016,"No","No",48
"180",2,4,"(2 + 2) * 16",56,14437.404999999,"No","No",64
"180",2,5,"(45 - 23) / 11",2,7291.58400000806,"No","No",2
"180",2,6,"(3 + 3) * 3",48,5941.06700000155,"No","No",18
"180",2,7,"(21 + 12) / 11",3,6020.24600002018,"No","No",3
"180",2,8,"(9 - 5) * 4",NA,6837.69200001669,"No","No",16
"181",1,1,"(4 + 3) * 4",24,6443.84199996619,"No","No",28
"181",1,2,"(6 + 6) * 6",42,38517.6519999048,"No","No",72
"181",1,3,"(3 + 9) * 2",NA,15011.3840000308,"No","No",24
"181",2,1,"(3 + 3) * 3",12,15464.7100000742,"No","No",18
"181",2,2,"(9 + 3) * 2",15,8528.62200005725,"No","No",24
"181",2,3,"(12 - 3) / 3",11,12609.7609999452,"No","No",3
"181",2,4,"(4 - 3) * 8",NA,23346.0460000613,"No","No",8
"179",1,1,"(1 + 7) * 6",48,15406.76,"No","No",48
"179",1,2,"(3 + 3) / 2",3,7397.26000000001,"No","No",3
"179",1,3,"(13 + 23) * 2",72,16589.9,"No","No",72
"179",1,4,"(2 + 2) * 2",8,3616.28000000003,"No","No",8
"179",1,5,"(2 + 6) * 5",40,14889.38,"No","No",40
"179",1,6,"(9 - 5) * 4",NA,1951.5,"No","No",16
"179",2,1,"(3 + 6) / 3",2,11493.0600000001,"No","No",3
"179",2,2,"(21 + 12) / 11",3,13461.12,"No","No",3
"179",2,3,"(8 + 3) * 4",44,4869.76000000001,"No","No",44
"179",2,4,"(13 + 23) * 2",72,14860.38,"No","No",72
"179",2,5,"(21 - 9) / 4",3,10243.88,"No","No",3
"179",2,6,"(3 + 9) * 2",NA,4900.47999999998,"No","No",24
"178",1,1,"(3 + 3) / 2",3,10601.5490000001,"No","No",3
"178",1,2,"(11 + 23) * 3",102,34648.9560000001,"No","No",102
"178",1,3,"(45 - 23) / 11",NA,14687.928,"No","No",2
"178",2,1,"(2 + 2) / 2",2,7086.04700000037,"No","No",2
"178",2,2,"(4 + 3) * 9",63,7771.91400000034,"No","No",63
"178",2,3,"(6 + 6) * 6",72,9587.44400000002,"No","No",72
"178",2,4,"(50 - 23) / 9",3,9633.59700000007,"No","No",3
