id,main1_joint,sub1_joint,main2_joint,sub2_joint
188,Imagery,,,
187,Rehearsal,Cumulative,Read out loud,
186,Rehearsal,Individual,,
185,Schema,Sentences,,
180,Read out loud,,,
181,Schema,Grouping by similarity,,
179,Other,,,
178,Schema,Story,,
177,Rehearsal,Cumulative,,
176,Rehearsal,Cumulative,Schema,Grouping by similarity
175,Rehearsal,Cumulative,,
174,None,,,
172,Rehearsal,Cumulative,,
171,Read out loud,,,
169,Read out loud,,,
170,Read out loud,,,
168,None,,,
166,Rehearsal,Cumulative,Schema,Grouping by similarity
165,Imagery,,,
163,Schema,Story,,
162,Schema,Story,,
161,Rehearsal,Cumulative,,
160,Rehearsal,Cumulative,,
159,None,,,
158,Imagery,,,
157,Imagery,,,
156,Rehearsal,Cumulative,Read out loud,
155,Read out loud,,,
154,None,,,
153,Rehearsal,Cumulative,,
152,None,,,
151,Schema,Story,,
148,Rehearsal,Cumulative,,
149,Rehearsal,Cumulative,Read out loud,
147,Rehearsal,Individual,,
146,None,,,
145,None,,,
142,Wrote,,,
103,Other,,Imagery,
141,Schema,Story,,
140,Read out loud,,,
138,Schema,Story,,
137,Rehearsal,Cumulative,Imagery,
136,None,,,
135,Schema,Grouping by similarity,,
134,None,,,
111,None,,,
131,Schema,Grouping by similarity,,
130,Rehearsal,Cumulative,Read out loud,
129,Rehearsal,Cumulative,,
128,Rehearsal,,,
127,None,,Other,
126,Rehearsal,Cumulative,,
123,Imagery,,,
122,Read out loud,,Rehearsal,Cumulative
121,Other,,,
120,Schema,Sentences,,
119,Rehearsal,Cumulative,Read out loud,
116,Rehearsal,Cumulative,,
114,Schema,Grouping by similarity,,
113,Schema,Grouping by similarity,,
109,Rehearsal,Cumulative,,
108,None,,,
105,Imagery,,,
102,Imagery,,Schema,Grouping by similarity
101,Imagery,,Schema,Story
100,Imagery,,,
99,Other,,,
97,Rehearsal,Cumulative,Schema,Grouping by similarity
98,Other,,,
96,Rehearsal,Cumulative,,
94,Other,,,
93,Schema,Story,Imagery,
91,Schema,Story,,
89,Schema,Song,,
88,Rehearsal,Cumulative,,
87,Other,,,
86,Wrote,,,
85,Wrote,,,
81,Other,,,
80,None,,,
79,Wrote,,,
73,Read out loud,,,
72,Rehearsal,Cumulative,,
70,Wrote,,,
68,Rehearsal,,Imagery,
67,None,,,
64,Rehearsal,Cumulative,Read out loud,
62,Rehearsal,Cumulative,,
61,Wrote,,,
