"id","age","listid","color_condition","stimulus_condition","response","duration","expect_test","use_help","recall_all_q","recog_pos","tested_word","test_trial_type","trial_condition"
1,"young",2,"blue","words","2",3925.12700000079,"No","No","Yes",1,"school","new",NA
1,"young",2,"blue","words","4",1986.1590000008,"No","No","Yes",2,"devil","old","remember"
1,"young",2,"blue","words","6",1862.61300000071,"No","No","Yes",3,"jewelry","old","process"
1,"young",2,"blue","words","1",1213.84199999925,"No","No","Yes",4,"ranch","new",NA
1,"young",2,"blue","words","5",2222.83199999959,"No","No","Yes",5,"beach","new",NA
1,"young",2,"blue","words","2",1965.06199999922,"No","No","Yes",6,"pizza","new",NA
1,"young",2,"blue","words","6",1342.48199999996,"No","No","Yes",7,"casino","old","remember"
1,"young",2,"blue","words","1",1120.35500000033,"No","No","Yes",8,"dog","new",NA
1,"young",2,"blue","words","1",1072.34100000071,"No","No","Yes",9,"airplane","new",NA
1,"young",2,"blue","words","2",1388.52500000037,"No","No","Yes",10,"cloud","new",NA
1,"young",2,"blue","words","2",963.254999999306,"No","No","Yes",11,"carpet","new",NA
1,"young",2,"blue","words","6",1005.03500000038,"No","No","Yes",12,"table","old","remember"
1,"young",2,"blue","words","6",611.106000000029,"No","No","Yes",13,"coast","old","remember"
1,"young",2,"blue","words","6",694.072000000393,"No","No","Yes",14,"dragon","old","remember"
1,"young",2,"blue","words","1",1019.90800000005,"No","No","Yes",15,"jungle","new",NA
1,"young",2,"blue","words","2",3626.79000000074,"No","No","Yes",16,"camera","new",NA
1,"young",2,"blue","words","6",938.579000000726,"No","No","Yes",17,"barrel","old","process"
1,"young",2,"blue","words","4",2373.89099999925,"No","No","Yes",18,"wolf","new",NA
1,"young",2,"blue","words","6",1100.66099999996,"No","No","Yes",19,"turtle","old","remember"
1,"young",2,"blue","words","2",1528.31300000031,"No","No","Yes",20,"concert","new",NA
1,"young",2,"blue","words","4",3811.01700000034,"No","No","Yes",21,"doctor","new",NA
1,"young",2,"blue","words","2",1288.41099999961,"No","No","Yes",22,"orange","old","process"
1,"young",2,"blue","words","6",847.93699999922,"No","No","Yes",23,"harbor","old","process"
