"id","listid","study_position","color_condition","trial_condition","stimulus_condition","presented_color","word1","studyRT","resp","expect_test","use_help","exp_duration","recall_all_q","output_pos1","testRT1","recall_acc","tested_word_left","tested_word_right","recog_response","recogRT","old_pos","recog_pos","recog_acc","exclude","cue_prioritem1","cue_prioritem","cue_consec_value","cue_consec_lab","math_acc","n"
"18212",1,1,"red","process","words","blue","elephant",2386.96699989584,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,0.928571428571429,42
"18212",1,2,"red","process","words","blue","pole",3393.55399987819,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-0.5,"process1",0.928571428571429,42
"18212",1,3,"red","remember","words","red","nanny",1570.28600003204,"larger","No","No",14.8754064166647,"Yes",2,4449.82600007934,1,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-1.5,"process2",0.928571428571429,42
"18212",1,4,"red","remember","words","red","pipe",2221.07500002034,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"remember","remember",0.5,"remember1",0.928571428571429,42
"18212",1,5,"red","remember","words","red","monkey",1424.53299990612,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"remember","remember",1.5,"remember2",0.928571428571429,42
"18212",1,6,"red","process","words","blue","guitar",1929.91099996014,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"remember","remember",2.5,"remember3",0.928571428571429,42
"18212",1,7,"red","remember","words","red","opera",1083.84899990069,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-0.5,"process1",0.928571428571429,42
"18212",1,8,"red","process","words","blue","pearl",1302.55699991909,"smaller","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"remember","remember",0.5,"remember1",0.928571428571429,42
"18212",1,9,"red","process","words","blue","chicken",3059.33400003516,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-0.5,"process1",0.928571428571429,42
"18212",1,10,"red","remember","words","red","camera",1684.88299998785,"smaller","No","No",14.8754064166647,"Yes",3,2653.36400006927,1,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-1.5,"process2",0.928571428571429,42
"18212",1,11,"red","process","words","blue","statue",1576.88199988988,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"remember","remember",0.5,"remember1",0.928571428571429,42
"18212",1,12,"red","process","words","blue","needle",1346.30799998838,"smaller","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-0.5,"process1",0.928571428571429,42
"18212",1,13,"red","remember","words","red","penny",1612.38599988363,"smaller","No","No",14.8754064166647,"Yes",4,1385.71000004804,1,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-1.5,"process2",0.928571428571429,42
"18212",1,14,"red","remember","words","red","chin",1298.810000069,"smaller","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"remember","remember",0.5,"remember1",0.928571428571429,42
"18212",1,15,"red","process","words","blue","tower",1626.2419999339,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"remember","remember",1.5,"remember2",0.928571428571429,42
"18212",1,16,"red","remember","words","red","child",1765.28799995373,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-0.5,"process1",0.928571428571429,42
"18212",1,17,"red","process","words","blue","cigar",1115.2389999617,"smaller","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"remember","remember",0.5,"remember1",0.928571428571429,42
"18212",1,18,"red","remember","words","red","sweater",1382.56700005737,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-0.5,"process1",0.928571428571429,42
"18212",1,19,"red","process","words","blue","bacon",1179.60699990709,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"remember","remember",0.5,"remember1",0.928571428571429,42
"18212",1,20,"red","process","words","blue","glove",1940.70299994739,"smaller","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-0.5,"process1",0.928571428571429,42
"18212",1,21,"red","remember","words","red","dessert",1312.02999993772,"smaller","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-1.5,"process2",0.928571428571429,42
"18212",1,22,"red","process","words","blue","jeep",2452.17099997384,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"remember","remember",0.5,"remember1",0.928571428571429,42
"18212",1,23,"red","remember","words","red","shotgun",972.734000049706,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-0.5,"process1",0.928571428571429,42
"18212",1,24,"red","remember","words","red","castle",1112.28299991664,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"remember","remember",0.5,"remember1",0.928571428571429,42
"18212",1,25,"red","remember","words","red","wrist",1110.43299988669,"smaller","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"remember","remember",1.5,"remember2",0.928571428571429,42
"18212",1,26,"red","process","words","blue","universe",1030.45900003673,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"remember","remember",2.5,"remember3",0.928571428571429,42
"18212",1,27,"red","remember","words","red","planet",1966.85499998808,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-0.5,"process1",0.928571428571429,42
"18212",1,28,"red","process","words","blue","jewelry",3707.02299988511,"smaller","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"remember","remember",0.5,"remember1",0.928571428571429,42
"18212",1,29,"red","process","words","blue","dragon",1779.14099988437,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-0.5,"process1",0.928571428571429,42
"18212",1,30,"red","remember","words","red","doctor",1692.83400008554,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-1.5,"process2",0.928571428571429,42
"18212",2,1,"red","process","words","blue","corn",6350.67899995716,"smaller","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,0.928571428571429,42
"18212",2,2,"red","remember","words","red","concert",3632.43999989057,"larger","No","No",14.8754064166647,"Yes",1,3740.46099994297,1,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-0.5,"process1",0.928571428571429,42
"18212",2,3,"red","process","words","blue","bone",1655.22199989337,"smaller","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"remember","remember",0.5,"remember1",0.928571428571429,42
"18212",2,4,"red","remember","words","red","crown",2100.70599994285,"smaller","No","No",14.8754064166647,"Yes",3,1443.97400003206,1,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-0.5,"process1",0.928571428571429,42
"18212",2,5,"red","remember","words","red","curtain",707.388000093226,"larger","No","No",14.8754064166647,"Yes",2,3036.6989999885,1,NA,NA,NA,NA,NA,NA,NA,FALSE,"remember","remember",0.5,"remember1",0.928571428571429,42
"18212",2,6,"red","process","words","blue","peanut",718.079999896116,"smaller","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"remember","remember",1.5,"remember2",0.928571428571429,42
"18212",2,7,"red","remember","words","red","barn",910.364000005589,"larger","No","No",14.8754064166647,"Yes",4,2022.85899998259,1,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-0.5,"process1",0.928571428571429,42
"18212",2,8,"red","process","words","blue","burger",1513.80999994208,"smaller","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"remember","remember",0.5,"remember1",0.928571428571429,42
"18212",2,9,"red","process","words","blue","couch",1147.14800005959,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-0.5,"process1",0.928571428571429,42
"18212",2,10,"red","process","words","blue","pistol",1601.92499992962,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-1.5,"process2",0.928571428571429,42
"18212",2,11,"red","remember","words","red","nurse",978.242999893613,"larger","No","No",14.8754064166647,"Yes",5,3197.09400001436,1,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-2.5,"process3",0.928571428571429,42
"18212",2,12,"red","remember","words","red","circus",2799.76799996896,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"remember","remember",0.5,"remember1",0.928571428571429,42
"18212",2,13,"red","process","words","blue","palace",7948.54100004537,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"remember","remember",1.5,"remember2",0.928571428571429,42
"18212",2,14,"red","remember","words","red","belt",826.402000046801,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-0.5,"process1",0.928571428571429,42
"18212",2,15,"red","process","words","blue","lemon",1511.48799988691,"smaller","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"remember","remember",0.5,"remember1",0.928571428571429,42
"18212",2,16,"red","process","words","blue","horn",884.592000017117,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-0.5,"process1",0.928571428571429,42
"18212",2,17,"red","process","words","blue","window",1449.44799997355,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-1.5,"process2",0.928571428571429,42
"18212",2,18,"red","remember","words","red","medal",1360.25600007136,"smaller","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-2.5,"process3",0.928571428571429,42
"18212",2,19,"red","process","words","blue","nail",1825.52000007679,"smaller","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"remember","remember",0.5,"remember1",0.928571428571429,42
"18212",2,20,"red","process","words","blue","barrel",6543.83500005433,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-0.5,"process1",0.928571428571429,42
"18212",2,21,"red","remember","words","red","cherry",1514.13799993234,"smaller","No","No",14.8754064166647,"Yes",8,2282.09499996644,1,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-1.5,"process2",0.928571428571429,42
"18212",2,22,"red","remember","words","red","tooth",5399.84400009655,"smaller","No","No",14.8754064166647,"Yes",7,1356.80999999377,1,NA,NA,NA,NA,NA,NA,NA,FALSE,"remember","remember",0.5,"remember1",0.928571428571429,42
"18212",2,23,"red","process","words","blue","taxi",2863.06800005364,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"remember","remember",1.5,"remember2",0.928571428571429,42
"18212",2,24,"red","process","words","blue","banana",2117.20199999394,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-0.5,"process1",0.928571428571429,42
"18212",2,25,"red","remember","words","red","airplane",902.71699993714,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-1.5,"process2",0.928571428571429,42
"18212",2,26,"red","process","words","blue","eagle",2412.31300005817,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"remember","remember",0.5,"remember1",0.928571428571429,42
"18212",2,27,"red","remember","words","red","cookie",744.176999910269,"smaller","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"process","process",-0.5,"process1",0.928571428571429,42
"18212",2,28,"red","remember","words","red","school",6085.41000007733,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"remember","remember",0.5,"remember1",0.928571428571429,42
"18212",2,29,"red","remember","words","red","newspaper",2091.94800003368,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,"remember","remember",1.5,"remember2",0.928571428571429,42
"18212",2,30,"red","remember","words","red","wolf",2266.98199991416,"larger","No","No",14.8754064166647,"Yes",6,2257.25499988894,1,NA,NA,NA,NA,NA,NA,NA,FALSE,"remember","remember",2.5,"remember3",0.928571428571429,42
"18212",3,1,"red","remember","words","red","basket",1123.51099994138,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,"waiter","basket","right",2051.71799996076,"right",20,1,FALSE,NA,NA,NA,NA,0.928571428571429,42
"18212",3,2,"red","remember","words","red","bedroom",1717.17199987324,"larger","No","No",14.8754064166647,"Yes",NA,NA,0,"bedroom","bible","left",958.878999915905,"left",16,1,FALSE,"remember","remember",0.5,"remember1",0.928571428571429,42
