"id","listid","study_position","color_condition","trial_condition","stimulus_condition","btw_cond","presented_color","word1","studyRT","resp","expect_test","use_help","recall_all_q","output_pos1","testRT1","acc1","acc","exclude","cue_prioritem1","cue_prioritem","cue_consec_value","cue_consec_lab","math_acc","n"
"18603",1,1,"red","process","words","remember_6","blue","dice",6657.98700001388,"smaller","No","Yes","No",NA,NA,0,0,TRUE,NA,NA,NA,NA,0.909090909090909,22
"18603",1,2,"red","process","words","remember_6","blue","pole",12351.0030000082,"larger","No","Yes","No",NA,NA,0,0,TRUE,"process","process",-0.5,"process1",0.909090909090909,22
"18603",1,3,"red","process","words","remember_6","blue","clinic",3122.74500001803,"larger","No","Yes","No",NA,NA,0,0,TRUE,"process","process",-1.5,"process2",0.909090909090909,22
"18603",1,4,"red","process","words","remember_6","blue","elephant",3547.86600001177,"larger","No","Yes","No",NA,NA,0,0,TRUE,"process","process",-2.5,"process3",0.909090909090909,22
"18603",1,5,"red","process","words","remember_6","blue","lawyer",2454.97000000469,"larger","No","Yes","No",NA,NA,0,0,TRUE,"process","process",-2.5,"process3",0.909090909090909,22
"18603",1,6,"red","process","words","remember_6","blue","turtle",1498.41600001013,"larger","No","Yes","No",NA,NA,0,0,TRUE,"process","process",-2.5,"process3",0.909090909090909,22
"18603",1,7,"red","process","words","remember_6","blue","eagle",1399.47699999684,"larger","No","Yes","No",NA,NA,0,0,TRUE,"process","process",-2.5,"process3",0.909090909090909,22
"18603",1,8,"red","process","words","remember_6","blue","diamond",3028.42300000435,"smaller","No","Yes","No",NA,NA,0,0,TRUE,"process","process",-2.5,"process3",0.909090909090909,22
"18603",1,9,"red","process","words","remember_6","blue","curtain",1573.2640000064,"larger","No","Yes","No",NA,NA,0,0,TRUE,"process","process",-2.5,"process3",0.909090909090909,22
"18603",1,10,"red","process","words","remember_6","blue","taxi",1475.31300001018,"larger","No","Yes","No",NA,NA,0,0,TRUE,"process","process",-2.5,"process3",0.909090909090909,22
"18603",1,11,"red","remember","words","remember_6","red","barrel",1441.38000000411,"larger","No","Yes","No",1,4043.65100000083,1,1,TRUE,"process","process",-2.5,"process3",0.909090909090909,22
"18603",1,12,"red","process","words","remember_6","blue","brain",5555.14400000533,"smaller","No","Yes","No",NA,NA,0,0,TRUE,"remember","remember",0.5,"remember1",0.909090909090909,22
"18603",1,13,"red","process","words","remember_6","blue","bowl",6467.63500000973,"smaller","No","Yes","No",NA,NA,0,0,TRUE,"process","process",-0.5,"process1",0.909090909090909,22
"18603",1,14,"red","process","words","remember_6","blue","underwear",2060.33800001506,"smaller","No","Yes","No",NA,NA,0,0,TRUE,"process","process",-1.5,"process2",0.909090909090909,22
"18603",1,15,"red","process","words","remember_6","blue","highway",2667.42500000805,"larger","No","Yes","No",NA,NA,0,0,TRUE,"process","process",-2.5,"process3",0.909090909090909,22
"18603",1,16,"red","process","words","remember_6","blue","jeep",1524.46800000602,"larger","No","Yes","No",NA,NA,0,0,TRUE,"process","process",-2.5,"process3",0.909090909090909,22
"18603",1,17,"red","process","words","remember_6","blue","sink",1178.90700000018,"larger","No","Yes","No",NA,NA,0,0,TRUE,"process","process",-2.5,"process3",0.909090909090909,22
"18603",1,18,"red","process","words","remember_6","blue","nurse",931.766000012372,"larger","No","Yes","No",NA,NA,0,0,TRUE,"process","process",-2.5,"process3",0.909090909090909,22
"18603",1,19,"red","process","words","remember_6","blue","tent",1154.84600000453,"larger","No","Yes","No",NA,NA,0,0,TRUE,"process","process",-2.5,"process3",0.909090909090909,22
"18603",1,20,"red","remember","words","remember_6","red","child",1048.86500001483,"larger","No","Yes","No",2,2759.93499999843,1,1,TRUE,"process","process",-2.5,"process3",0.909090909090909,22
"18603",1,21,"red","remember","words","remember_6","red","library",1515.90900000537,"larger","No","Yes","No",3,3725.95900001307,1,1,TRUE,"remember","remember",0.5,"remember1",0.909090909090909,22
"18603",1,22,"red","process","words","remember_6","blue","concert",1393.16799999712,"larger","No","Yes","No",NA,NA,0,0,TRUE,"remember","remember",1.5,"remember2",0.909090909090909,22
"18603",1,23,"red","process","words","remember_6","blue","jewelry",1860.28299999938,"smaller","No","Yes","No",NA,NA,0,0,TRUE,"process","process",-0.5,"process1",0.909090909090909,22
"18603",1,24,"red","remember","words","remember_6","red","nanny",1149.44699999681,"larger","No","Yes","No",4,2479.72699999617,1,1,TRUE,"process","process",-1.5,"process2",0.909090909090909,22
"18603",1,25,"red","process","words","remember_6","blue","newspaper",4277.64000002251,"smaller","No","Yes","No",NA,NA,0,0,TRUE,"remember","remember",0.5,"remember1",0.909090909090909,22
"18603",1,26,"red","remember","words","remember_6","red","train",1188.15900001762,"larger","No","Yes","No",5,1902.00200002233,1,1,TRUE,"process","process",-0.5,"process1",0.909090909090909,22
"18603",1,27,"red","process","words","remember_6","blue","window",2338.95700001932,"larger","No","Yes","No",NA,NA,0,0,TRUE,"remember","remember",0.5,"remember1",0.909090909090909,22
"18603",1,28,"red","remember","words","remember_6","red","steak",1872.99599999969,"smaller","No","Yes","No",6,2327.88700000144,1,1,TRUE,"process","process",-0.5,"process1",0.909090909090909,22
"18603",1,29,"red","process","words","remember_6","blue","nail",3423.30100002181,"smaller","No","Yes","No",NA,NA,0,0,TRUE,"remember","remember",0.5,"remember1",0.909090909090909,22
"18603",1,30,"red","process","words","remember_6","blue","bone",3222.91800000786,"smaller","No","Yes","No",NA,NA,0,0,TRUE,"process","process",-0.5,"process1",0.909090909090909,22
"18603",2,1,"red","process","words","remember_6","blue","soda",2808.20499999612,"smaller","No","Yes","No",NA,NA,0,0,TRUE,NA,NA,NA,NA,0.909090909090909,22
"18603",2,2,"red","process","words","remember_6","blue","worm",3197.62400001485,"smaller","No","Yes","No",NA,NA,0,0,TRUE,"process","process",-0.5,"process1",0.909090909090909,22
"18603",2,3,"red","process","words","remember_6","blue","sweater",5167.74099999951,"smaller","No","Yes","No",NA,NA,0,0,TRUE,"process","process",-1.5,"process2",0.909090909090909,22
"18603",2,4,"red","process","words","remember_6","blue","rabbit",3346.21999999543,"smaller","No","Yes","No",NA,NA,0,0,TRUE,"process","process",-2.5,"process3",0.909090909090909,22
"18603",2,5,"red","process","words","remember_6","blue","garden",1551.13299999619,"larger","No","Yes","No",NA,NA,0,0,TRUE,"process","process",-2.5,"process3",0.909090909090909,22
"18603",2,6,"red","process","words","remember_6","blue","virus",1726.6170000197,"smaller","No","Yes","No",NA,NA,0,0,TRUE,"process","process",-2.5,"process3",0.909090909090909,22
"18603",2,7,"red","process","words","remember_6","blue","tire",1239.34100002109,"larger","No","Yes","No",NA,NA,0,0,TRUE,"process","process",-2.5,"process3",0.909090909090909,22
"18603",2,8,"red","process","words","remember_6","blue","boot",4629.93800001702,"smaller","No","Yes","No",NA,NA,0,0,TRUE,"process","process",-2.5,"process3",0.909090909090909,22
"18603",2,9,"red","process","words","remember_6","blue","tower",1293.30200001667,"larger","No","Yes","No",NA,NA,0,0,TRUE,"process","process",-2.5,"process3",0.909090909090909,22
