"id","listid","eq_id","question","answer","duration","use_help","cresp"
"19099",1,1,"(13 + 23) * 2",72,18532.9989999995,"No",72
"19099",1,2,"(7 + 8) * 3",45,11979.0589999991,"No",45
"19099",1,3,"(9 - 3) * 3",18,8792.55900000065,"No",18
"19099",1,4,"(2 + 6) * 5",40,9850.14400000084,"No",40
"19099",1,5,"(8 + 3) * 4",44,9298.59600000095,"No",44
"19099",1,6,"(2 + 2) * 16",NA,1466.88800000085,"No",64
"19098",1,1,"(19 + 11) / 5",6,16348.2460000104,"No",6
"19098",1,2,"(7 + 13) / 4",5,15033.6180000243,"No",5
"19098",1,3,"(9 - 3) * 3",18,15952.5800000138,"No",18
"19098",1,4,"(2 + 6) * 5",NA,12601.6970000085,"No",40
"19097",1,1,"(11 + 23) * 3",102,7628.20100000442,"No",102
"19097",1,2,"(23 - 17) / 6",1,3545.06000000227,"No",1
"19097",1,3,"(21 + 12) / 11",3,2448.23900000227,"No",3
"19097",1,4,"(3 + 6) / 3",3,1780.38700000208,"No",3
"19097",1,5,"(7 + 8) * 3",45,2547.39000000386,"No",45
"19097",1,6,"(4 + 2) * 9",54,4467.11700000474,"No",54
"19097",1,7,"(2 + 3) * 4",20,3139.99900000368,"No",20
"19097",1,8,"(7 - 4) * 8",24,1883.53700000211,"No",24
"19097",1,9,"(19 - 4) * 5",75,5367.08800000313,"No",75
"19097",1,10,"(4 + 3) * 9",63,2601.67400000541,"No",63
"19097",1,11,"(3 + 9) * 2",24,2079.80700000573,"No",24
"19097",1,12,"(19 + 11) / 5",6,3354.23300000472,"No",6
"19097",1,13,"(1 + 7) * 6",48,2952.80100000399,"No",48
"19097",1,14,"(4 - 3) * 8",8,2126.79800000304,"No",8
"19097",1,15,"(3 + 3) * 8",72,2600.67399999965,"No",48
"19097",1,16,"(13 + 23) * 2",72,4877.63300000504,"No",72
"19097",1,17,"(3 + 3) / 2",3,4110.53700000612,"No",3
"19097",1,18,"(8 + 8) / 4",NA,2269.95900000562,"No",4
"19096",1,1,"(13 + 23) * 2",72,11184.3999999623,"No",72
"19096",1,2,"(7 + 13) / 4",5,3711.34400006494,"No",5
"19096",1,3,"(2 + 3) * 4",24,4879.76200000581,"No",20
"19096",1,4,"(50 - 23) / 9",3,6080.3970000346,"No",3
"19096",1,5,"(3 + 6) / 3",3,8027.69900001967,"No",3
"19096",1,6,"(4 + 2) * 9",54,7322.37699997262,"No",54
"19096",1,7,"(2 + 2) * 16",64,4690.23900002244,"No",64
"19096",1,8,"(8 + 8) / 4",4,3826.48300003156,"No",4
"19096",1,9,"(23 - 17) / 6",1,4727.41200003627,"No",1
"19096",1,10,"(3 + 3) / 2",12,4051.73899995495,"No",3
"19096",1,11,"(12 - 3) / 3",NA,1366.64900005789,"No",3
"19094",1,1,"(19 + 11) / 5",6,9646.36800000077,"No",6
"19094",1,2,"(4 - 3) * 8",8,4218.59299999982,"No",8
"19094",1,3,"(4 + 3) * 9",63,5494.24200000102,"No",63
"19094",1,4,"(4 + 3) * 4",28,4473.16999999952,"No",28
"19094",1,5,"(4 + 2) * 9",54,3790.84499999968,"No",54
"19094",1,6,"(3 + 3) * 8",48,3758.72900000017,"No",48
"19094",1,7,"(2 + 2) * 16",64,8220.93100000016,"No",64
"19094",1,8,"(8 + 8) / 4",4,2533.60100000026,"No",4
"19094",1,9,"(13 + 23) * 2",72,5316.30300000048,"No",72
"19094",1,10,"(3 + 9) * 2",24,3594.09600000054,"No",24
"19094",1,11,"(21 - 9) / 4",3,4426.91099999996,"No",3
"19094",1,12,"(17 + 23) / 8",5,3888.70099999994,"No",5
"19094",1,13,"(6 + 6) * 6",NA,484.892999999749,"No",72
"19093",1,1,"(50 - 23) / 9",3.2,14645.3149999145,"No",3
"19093",1,2,"(1 + 7) * 6",48,6841.09199991089,"No",48
"19093",1,3,"(7 + 8) * 3",45,4829.06399992967,"No",45
"19093",1,4,"(21 - 9) / 4",3,7130.13299997995,"No",3
"19093",1,5,"(7 + 13) / 4",4,4309.98699997301,"No",5
"19093",1,6,"(7 - 4) * 8",24,6620.56199990539,"No",24
"19093",1,7,"(9 - 5) * 4",16,6183.37799993705,"No",16
"19093",1,8,"(17 + 23) / 8",5,4489.15099998118,"No",5
"19093",1,9,"(6 + 6) / 3",4,3192.44399990121,"No",4
"19093",1,10,"(3 + 3) / 2",NA,1587.43599989588,"No",3
"19092",1,1,"(2 + 3) * 4",20,5021.38599999878,"No",20
"19092",1,2,"(11 + 23) * 3",102,15759.9390000001,"No",102
"19092",1,3,"(6 + 6) / 3",4,5973.05599999876,"No",4
"19092",1,4,"(2 + 5) * 2",14,2188.74400000036,"No",14
"19092",1,5,"(9 - 3) * 3",18,5943.60399999912,"No",18
"19092",1,6,"(13 + 23) * 2",72,4939.2759999999,"No",72
"19092",1,7,"(3 + 9) * 2",24,1997.09499999884,"No",24
"19092",1,8,"(50 - 23) / 9",3,7620.54699999967,"No",3
"19092",1,9,"(4 + 3) * 9",42,4298.12199999878,"No",63
"19092",1,10,"(2 + 2) * 16",64,5896.75900000011,"No",64
"19092",1,11,"(3 + 3) * 8",NA,303.228999998857,"No",48
"19091",1,1,"(4 + 2) * 9",54,8741.46200000047,"No",54
"19091",1,2,"(23 - 17) / 6",1,26330.1769999993,"No",1
"19091",1,3,"(7 + 13) / 4",5,4187.96900000179,"No",5
"19091",1,4,"(11 + 23) * 3",102,10818.4699999996,"No",102
"19091",1,5,"(7 + 2) * 8",72,5995.82800000015,"No",72
"19091",1,6,"(17 + 23) / 8",NA,3815.6349999996,"No",5
"19089",1,1,"(13 + 23) * 2",72,7014.97399996431,"No",72
"19089",1,2,"(6 + 6) * 6",72,3699.69199992751,"No",72
"19089",1,3,"(21 - 9) / 4",3,3424.54399999441,"No",3
"19089",1,4,"(9 - 5) * 4",16,2132.4569999167,"No",16
"19089",1,5,"(2 + 3) * 4",20,2920.97199995464,"No",20
"19089",1,6,"(1 + 7) * 6",48,2755.23599992512,"No",48
"19089",1,7,"(4 + 2) * 9",54,2259.20399987334,"No",54
"19089",1,8,"(2 + 2) * 2",8,2208.40100001855,"No",8
"19089",1,9,"(11 + 23) * 3",112,14561.7679999797,"No",102
"19089",1,10,"(50 - 23) / 9",3,2638.02899994852,"No",3
"19089",1,11,"(3 + 3) * 8",48,3404.21000005296,"No",48
"19089",1,12,"(7 + 13) / 4",5,1843.4270000181,"No",5
"19089",1,13,"(2 + 5) * 2",14,2049.92500001861,"No",14
"19089",1,14,"(3 + 3) / 2",3,2936.53499995708,"No",3
"19089",1,15,"(7 + 8) * 3",45,4184.49199988428,"No",45
"19089",1,16,"(6 + 6) / 3",NA,1770.87700000088,"No",4
"19088",1,1,"(6 + 6) * 6",72,11621.3930000206,"No",72
"19088",1,2,"(3 + 3) / 2",3,7315.64400003443,"No",3
"19088",1,3,"(9 - 5) * 4",16,10472.859000046,"No",16
"19088",1,4,"(3 + 9) * 2",24,5936.37300004018,"No",24
"19088",1,5,"(13 + 23) * 2",72,9836.05800004327,"No",72
"19088",1,6,"(4 + 3) * 4",28,5194.57000004844,"No",28
"19088",1,7,"(3 + 3) * 3",18,6571.90700004186,"No",18
"19088",1,8,"(4 - 3) * 8",NA,2888.24400001654,"No",8
"19086",1,1,"(2 + 5) * 2",20,5273.22,"No",14
"19086",1,2,"(7 + 8) * 3",45,5113.38,"No",45
"19086",1,3,"(7 + 13) / 4",5,4607.14000000001,"No",5
"19086",1,4,"(5 + 3) / 4",2,3740.39999999999,"No",2
"19086",1,5,"(19 + 11) / 5",6,12787.34,"No",6
"19086",1,6,"(4 - 3) * 8",8,2895.06,"No",8
"19086",1,7,"(3 + 3) * 8",48,8480.38,"No",48
