"id","study_position","color_condition","trial_condition","stimulus_condition","presented_color","test_first","word1","studyRT","resp","use_help","testid","test_color","output_pos1","abs_output_position","testRT","acc","strict_acc","color_intrusions"
"19099",1,"blue","process",NA,"red","all","train",4898.54199999913,"larger","No",1,"all",2,2,2836.23200000165,1,1,0
"19099",2,"blue","process",NA,"red","all","carpet",5432.31899999951,"larger","No",1,"all",3,3,3449.44700000127,1,1,0
"19099",3,"blue","remember",NA,"blue","all","cherry",2593.64500000197,"smaller","No",1,"all",4,4,2817.15500000189,1,1,0
"19099",4,"blue","process",NA,"red","all","knife",4548.4640000019,"smaller","No",1,"all",5,5,2476.96000000247,1,1,0
"19099",5,"blue","process",NA,"red","all","bowl",2814.6959999995,"smaller","No",1,"all",6,6,3314.47800000163,1,1,0
"19099",6,"blue","remember",NA,"blue","all","garden",2268.71800000189,"larger","No",1,"all",7,7,2927.80500000232,1,1,0
"19099",7,"blue","remember",NA,"blue","all","tunnel",2700.34200000262,"larger","No",1,"all",8,8,4008.66300000029,1,1,0
"19099",8,"blue","process",NA,"red","all","school",1711.72400000159,"larger","No",1,"all",9,9,2611.33799999987,1,1,0
"19099",9,"blue","process",NA,"red","all","lawyer",1835.94400000066,"larger","No",1,"all",10,10,3578.40999999945,1,1,0
"19099",10,"blue","process",NA,"red","all","elephant",1976.93099999911,"larger","No",1,"all",11,11,4121.26400000177,1,1,0
"19099",11,"blue","process",NA,"red","all","bacon",1850.87200000064,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19099",12,"blue","remember",NA,"blue","all","lamp",2123.98299999972,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19099",13,"blue","process",NA,"red","all","house",1636.39800000141,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19099",14,"blue","remember",NA,"blue","all","bush",1889.83200000032,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19099",15,"blue","remember",NA,"blue","all","underwear",1228.87500000201,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19099",16,"blue","remember",NA,"blue","all","brick",3409.34900000086,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19099",17,"blue","remember",NA,"blue","all","eagle",1486.42700000192,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19099",18,"blue","remember",NA,"blue","all","jewelry",1467.60500000199,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19099",19,"blue","process",NA,"red","all","pearl",1337.1770000009,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19099",20,"blue","process",NA,"red","all","shark",1913.29100000032,"larger","No",1,"all",12,12,4576.15100000263,1,1,0
"19099",21,"blue","remember",NA,"blue","all","tooth",1352.06900000028,"smaller","No",1,"all",13,13,2994.63200000097,1,1,0
"19099",22,"blue","process",NA,"red","all","boot",3072.71600000071,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19099",23,"blue","remember",NA,"blue","all","cabin",1611.20900000044,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19099",24,"blue","process",NA,"red","all","clinic",7500.87000000165,"larger","No",1,"all",14,14,5010.24199999968,1,1,0
"19099",25,"blue","remember",NA,"blue","all","railroad",2952.99300000048,"larger","No",1,"all",15,15,4169.56500000262,1,1,0
"19099",26,"blue","remember",NA,"blue","all","orange",2724.4990000003,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19099",27,"blue","remember",NA,"blue","all","jeep",1519.0380000005,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19099",28,"blue","remember",NA,"blue","all","phone",2203.37799999994,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19099",29,"blue","process",NA,"red","all","cocktail",2091.12400000068,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19099",30,"blue","process",NA,"red","all","curtain",2954.44399999996,"larger","No",1,"all",16,16,7876.84700000187,1,1,0
"19098",1,"red","remember",NA,"red","red","bush",3577.20900000102,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19098",2,"red","process",NA,"blue","red","finger",1989.67200001312,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19098",3,"red","process",NA,"blue","red","eagle",5179.03600000296,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19098",4,"red","process",NA,"blue","red","window",3194.43000001233,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19098",5,"red","remember",NA,"red","red","factory",2172.66600001896,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19098",6,"red","remember",NA,"red","red","camera",16545.5520000004,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19098",7,"red","process",NA,"blue","red","cabin",4519.35900001465,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19098",8,"red","remember",NA,"red","red","chicken",5025.40200002167,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19098",9,"red","process",NA,"blue","red","pistol",2825.14500000223,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19098",10,"red","process",NA,"blue","red","bone",3225.41600001193,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19098",11,"red","process",NA,"blue","red","virus",3923.37600002467,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19098",12,"red","remember",NA,"red","red","elevator",5433.38500001433,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19098",13,"red","process",NA,"blue","red","fruit",3225.81700001878,"larger","No",2,"blue",1,11,3187.68700001237,1,1,0
"19098",14,"red","remember",NA,"red","red","phone",1698.67300000979,"larger","No",1,"red",8,8,874.318000003812,1,1,0
"19098",15,"red","process",NA,"blue","red","dessert",5911.34500000844,"larger","No",2,"blue",3,13,1864.69200002146,1,1,0
"19098",16,"red","remember",NA,"red","red","jewelry",4082.4300000112,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19098",17,"red","remember",NA,"red","red","barn",16487.8140000084,"larger","No",1,"red",7,7,1361.7680000118,1,1,0
"19098",18,"red","remember",NA,"red","red","elephant",2303.18000001446,"larger","No",1,"red",9,9,1431.99800000666,1,1,0
"19098",19,"red","process",NA,"blue","red","jeep",3093.86200002296,"larger","No",2,"blue",4,14,919.411000025109,1,1,0
"19098",20,"red","process",NA,"blue","red","empire",1935.54400002657,"larger","No",2,"blue",2,12,1580.7210000105,1,1,0
"19098",21,"red","process",NA,"blue","red","bedroom",3105.88200002123,"larger","No",2,"blue",6,16,1881.78400001687,1,1,0
"19098",22,"red","remember",NA,"red","red","pearl",4971.50900001603,"larger","No",1,"red",5,5,1650.01600002428,1,1,0
"19098",23,"red","process",NA,"blue","red","nail",2998.53000001571,"smaller","No",2,"blue",5,15,864.074000006309,1,1,0
"19098",24,"red","process",NA,"blue","red","forest",2294.16100002019,"larger","No",2,"blue",8,18,2037.40000001353,1,1,0
"19098",25,"red","remember",NA,"red","red","passport",2562.46700000527,"smaller","No",1,"red",6,6,1757.29100000893,1,1,0
"19098",26,"red","remember",NA,"red","red","pillow",2235.52000002764,"larger","No",1,"red",4,4,1758.68300001731,1,1,0
"19098",27,"red","remember",NA,"red","red","peanut",3687.9520000128,"smaller","No",1,"red",3,3,1517.08100000757,1,1,0
"19098",28,"red","remember",NA,"red","red","surgeon",2867.12500001138,"larger","No",1,"red",2,2,2821.26100000902,1,1,0
"19098",29,"red","process",NA,"blue","red","wolf",1542.1130000276,"larger","No",2,"blue",7,17,3914.74100000458,1,1,0
"19098",30,"red","remember",NA,"red","red","knee",28953.5540000262,"larger","No",1,"red",1,1,3196.81900001608,1,1,0
"19097",1,"red","remember",NA,"red","all","worm",2332.23700000406,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19097",2,"red","remember",NA,"red","all","forest",2581.11100000393,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19097",3,"red","process",NA,"blue","all","monkey",1661.04100000287,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19097",4,"red","remember",NA,"red","all","bread",3987.00900000254,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19097",5,"red","process",NA,"blue","all","bone",4411.09800000303,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19097",6,"red","process",NA,"blue","all","dentist",2241.06900000625,"larger","No",1,"all",6,6,1453.28900000226,1,1,0
"19097",7,"red","process",NA,"blue","all","concert",1127.02900000416,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19097",8,"red","remember",NA,"red","all","bacon",1363.36000000254,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19097",9,"red","remember",NA,"red","all","goat",1438.21400000599,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19097",10,"red","remember",NA,"red","all","valley",1110.1009999995,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19097",11,"red","remember",NA,"red","all","chair",1268.1270000051,"larger","No",1,"all",10,10,20122.2810000055,1,1,0
"19097",12,"red","remember",NA,"red","all","clinic",866.68200000083,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19097",13,"red","process",NA,"blue","all","tire",1330.17400000122,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19097",14,"red","process",NA,"blue","all","dragon",988.740000005695,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19097",15,"red","process",NA,"blue","all","satellite",829.450000005367,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19097",16,"red","process",NA,"blue","all","wolf",910.076999999859,"larger","No",1,"all",8,8,1253.40800000064,1,1,0
"19097",17,"red","remember",NA,"red","all","banana",938.816000000254,"smaller","No",1,"all",2,2,2196.30000000331,1,1,0
"19097",18,"red","process",NA,"blue","all","cocktail",1397.64800000582,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19097",19,"red","process",NA,"blue","all","flower",1118.39800000093,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19097",20,"red","process",NA,"blue","all","corn",1706.78100000478,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19097",21,"red","process",NA,"blue","all","turtle",1383.97400000553,"larger","No",1,"all",7,7,7929.6090000057,1,1,0
"19097",22,"red","process",NA,"blue","all","couch",777.9170000023,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19097",23,"red","process",NA,"blue","all","medal",804.342000005126,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19097",24,"red","remember",NA,"red","all","badge",1044.89900000131,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19097",25,"red","remember",NA,"red","all","coast",779.461000002033,"larger","No",1,"all",4,4,2432.31400000601,1,1,0
"19097",26,"red","remember",NA,"red","all","nurse",805.253000002747,"larger","No",1,"all",5,5,3684.35700000182,1,1,0
"19097",27,"red","remember",NA,"red","all","waiter",1301.604000002,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19097",28,"red","remember",NA,"red","all","cigar",914.05500000203,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19097",29,"red","remember",NA,"red","all","priest",1077.14599999999,"larger","No",1,"all",1,1,3165.80500000616,1,1,0
"19097",30,"red","process",NA,"blue","all","ocean",943.631000000809,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19096",1,"red","remember",NA,"red","all","brick",1725.45099995809,"smaller","No",1,"all",1,1,3660.65599996567,1,1,0
"19096",2,"red","remember",NA,"red","all","pole",3501.21200003945,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19096",3,"red","remember",NA,"red","all","empire",3773.36199995854,"larger","No",1,"all",3,3,1512.29899996438,1,1,0
"19096",4,"red","process",NA,"blue","all","wallet",3536.02100004448,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19096",5,"red","process",NA,"blue","all","pill",2299.91599996487,"smaller","No",1,"all",5,5,4737.18799997418,1,1,0
"19096",6,"red","process",NA,"blue","all","garden",1700.89400002381,"larger","No",1,"all",7,7,5800.95100000536,1,1,0
"19096",7,"red","process",NA,"blue","all","needle",4401.19100002668,"smaller","No",1,"all",6,6,2229.54699998331,1,1,0
"19096",8,"red","remember",NA,"red","all","cage",3168.01999999672,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19096",9,"red","process",NA,"blue","all","chicken",6920.72400004184,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19096",10,"red","remember",NA,"red","all","eagle",5239.81000000186,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19096",11,"red","remember",NA,"red","all","wolf",1758.04199998223,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19096",12,"red","process",NA,"blue","all","house",3774.40800002015,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19096",13,"red","process",NA,"blue","all","dragon",5223.4100000023,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19096",14,"red","process",NA,"blue","all","lawn",1529.83699995579,"larger","No",1,"all",8,8,1313.95899998076,1,1,0
"19096",15,"red","process",NA,"blue","all","lamp",1484.59199996287,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19096",16,"red","process",NA,"blue","all","nail",1834.21900000935,"smaller","No",1,"all",10,10,5888.99200004671,1,1,0
"19096",17,"red","remember",NA,"red","all","cherry",2168.78999996593,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19096",18,"red","process",NA,"blue","all","library",2680.93500004744,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19096",19,"red","remember",NA,"red","all","dessert",2329.7690000216,"larger","No",1,"all",9,9,11721.8920000592,1,1,0
"19096",20,"red","process",NA,"blue","all","diamond",2094.88300001182,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19096",21,"red","process",NA,"blue","all","peanut",1169.98900003874,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19096",22,"red","process",NA,"blue","all","factory",2403.20999995008,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19096",23,"red","process",NA,"blue","all","coast",2111.66800002355,"larger","No",1,"all",2,2,2357.53900006425,1,1,0
"19096",24,"red","remember",NA,"red","all","jungle",1592.67499997944,"larger","No",1,"all",12,12,5005.14500006492,1,1,0
"19096",25,"red","remember",NA,"red","all","passport",1545.63700002726,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19096",26,"red","remember",NA,"red","all","pilot",1218.64900001377,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19096",27,"red","remember",NA,"red","all","branch",2208.9369999879,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19096",28,"red","remember",NA,"red","all","earth",1525.17800005156,"larger","No",1,"all",11,11,7158.85600000934,1,1,0
"19096",29,"red","remember",NA,"red","all","wrist",1946.05800005744,"smaller","No",1,"all",4,4,1712.26499997627,1,1,0
"19096",30,"red","remember",NA,"red","all","basement",1364.50499996956,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19094",1,"blue","process",NA,"red","all","pillow",2967.89499999955,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19094",2,"blue","process",NA,"red","all","doctor",2101.52099999954,"larger","No",1,"all",2,2,946.667000000714,1,1,0
"19094",3,"blue","process",NA,"red","all","window",2186.55500000028,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19094",4,"blue","process",NA,"red","all","potato",1336.77599999949,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19094",5,"blue","remember",NA,"blue","all","fruit",1715.09500000026,"smaller","No",1,"all",1,1,1908.44599999976,1,1,0
"19094",6,"blue","process",NA,"red","all","string",2874.97999999969,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19094",7,"blue","remember",NA,"blue","all","underwear",1686.89699999976,"smaller","No",1,"all",7,7,5109.94900000095,1,1,0
"19094",8,"blue","process",NA,"red","all","sheep",1344.21400000021,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19094",9,"blue","process",NA,"red","all","nurse",1174.3769999998,"larger","No",1,"all",3,3,894.718000000808,1,1,0
"19094",10,"blue","process",NA,"red","all","ranch",1489.47699999996,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19094",11,"blue","remember",NA,"blue","all","phone",2293.60100000066,"smaller","No",1,"all",10,10,1067.87200000009,1,1,0
"19094",12,"blue","remember",NA,"blue","all","cage",1861.00299999991,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19094",13,"blue","process",NA,"red","all","jungle",1254.89800000004,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19094",14,"blue","remember",NA,"blue","all","cookie",1214.55099999928,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19094",15,"blue","process",NA,"red","all","surgeon",2535.17200000072,"larger","No",1,"all",13,13,3140.93300000066,1,1,0
"19094",16,"blue","process",NA,"red","all","sweater",1188.69199999975,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19094",17,"blue","remember",NA,"blue","all","nanny",1033.88300000102,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19094",18,"blue","remember",NA,"blue","all","pistol",2700.27800000057,"smaller","No",1,"all",8,8,2126.28699999931,1,1,0
"19094",19,"blue","remember",NA,"blue","all","fort",936.780000000901,"larger","No",1,"all",4,4,2373.12399999995,1,1,0
"19094",20,"blue","remember",NA,"blue","all","bike",1227.90300000017,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19094",21,"blue","process",NA,"red","all","pilot",1816.09500000044,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19094",22,"blue","process",NA,"red","all","couch",784.142000000982,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19094",23,"blue","remember",NA,"blue","all","passport",1132.34100000048,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19094",24,"blue","remember",NA,"blue","all","soda",1853.48600000056,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19094",25,"blue","remember",NA,"blue","all","camera",3678.14099999925,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19094",26,"blue","remember",NA,"blue","all","island",1518.3219999994,"larger","No",1,"all",5,5,949.47000000102,1,1,0
"19094",27,"blue","process",NA,"red","all","beach",1620.30400000029,"larger","No",1,"all",11,11,10916.4140000006,1,1,0
"19094",28,"blue","remember",NA,"blue","all","statue",2193.29700000066,"larger","No",1,"all",6,6,991.978000000236,1,1,0
"19094",29,"blue","remember",NA,"blue","all","frog",2245.54800000065,"smaller","No",1,"all",9,9,1092.89699999953,1,1,0
"19094",30,"blue","process",NA,"red","all","towel",1158.02300000057,"larger","No",1,"all",12,12,864.944999999367,1,1,0
"19093",1,"red","remember",NA,"red","red","casino",2276.21499997709,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19093",2,"red","remember",NA,"red","red","dice",1977.4109999088,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19093",3,"red","process",NA,"blue","red","dog",1925.19499998171,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19093",4,"red","process",NA,"blue","red","pilot",2031.33599990914,"larger","No",NA,NA,NA,NA,NA,0,0,0
"19093",5,"red","remember",NA,"red","red","steak",1117.47699997318,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19093",6,"red","process",NA,"blue","red","underwear",1076.57799999445,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19093",7,"red","process",NA,"blue","red","tank",948.033000003685,"larger","No",2,"blue",2,7,10430.716999953,1,1,0
"19093",8,"red","process",NA,"blue","red","liver",1790.69399990798,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19093",9,"red","remember",NA,"red","red","nail",910.31399991826,"smaller","No",1,"red",4,4,5334.19499993167,1,1,0
"19093",10,"red","remember",NA,"red","red","tower",1039.86400001132,"larger","No",2,"blue",1,6,11581.3429999546,1,0,1
"19093",11,"red","remember",NA,"red","red","bowl",1299.97899995865,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19093",12,"red","process",NA,"blue","red","mouse",1016.57899991957,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19093",13,"red","remember",NA,"red","red","wallet",724.194999959916,"smaller","No",NA,NA,NA,NA,NA,0,0,0
"19093",14,"red","remember",NA,"red","red","devil",1270.66499992042,"larger","No",NA,NA,NA,NA,NA,0,0,0
