"id","listid","study_position","color_condition","trial_condition","presented_color","word1","studyRT","resp","expect_test","use_help","recall_all_q","output_pos1","testRT","acc","cue_prioritem1","cue_prioritem","cue_consec_value","cue_consec_lab","X","larger_p","sizeRT","size_group","lp_prioritem1","lp_prioritem","sizeg_prioritem1","sizeg_prioritem","size_diff"
"19110",1,1,"blue","remember","blue","needle",3510.61300001846,"larger","No","No","No",4,3867.2779999951,1,NA,NA,NA,NA,108,"0.05",1495.27299999981,"0",NA,NA,NA,NA,NA
"19110",1,2,"blue","remember","blue","window",2760.05100001545,"larger","No","No","No",NA,NA,0,"remember","remember",0.5,"remember1",177,"0.87",1648.16399981343,"2","0.05","0.05","0","0",2
"19110",1,3,"blue","remember","blue","planet",927.548000002978,"larger","No","No","No",6,5421.44200001855,1,"remember","remember",1.5,"remember2",128,"0.99",1395.82000000002,"2","0.87","0.87","2","2",0
"19110",1,4,"blue","process","red","tiger",1350.0710000025,"smaller","No","No","No",NA,NA,0,"remember","remember",2.5,"remember3",160,"0.93",1491.39200000139,"2","0.99","0.99","2","2",0
"19110",1,5,"blue","remember","blue","bone",2050.37800001701,"smaller","No","No","No",NA,NA,0,"process","process",-0.5,"process1",16,"0.27",1787.56600000022,"1","0.93","0.93","2","2",-1
"19110",1,6,"blue","process","red","glove",2507.3750000039,"smaller","No","No","No",NA,NA,0,"remember","remember",0.5,"remember1",78,"0.05",1872.6590000171,"0","0.27","0.27","1","1",-1
"19110",1,7,"blue","process","red","clown",992.847999998485,"larger","No","No","No",NA,NA,0,"process","process",-0.5,"process1",47,"0.93",1453.19200000609,"2","0.05","0.05","0","0",2
"19110",1,8,"blue","process","red","fort",1920.13600001874,"larger","No","No","No",5,880.285000014759,1,"process","process",-1.5,"process2",74,"0.93",1491.44799999881,"2","0.93","0.93","2","2",0
"19110",1,9,"blue","remember","blue","horn",1526.17400001627,"smaller","No","No","No",NA,NA,0,"process","process",-2.5,"process3",86,"0.2",1624.69700003439,"0","0.93","0.93","2","2",-2
"19110",1,10,"blue","process","red","costume",2544.97300001697,"larger","No","No","No",NA,NA,0,"remember","remember",0.5,"remember1",53,"0.88",1863.09999999851,"2","0.2","0.2","0","0",2
"19110",1,11,"blue","remember","blue","carpet",1176.99399999305,"smaller","No","No","No",NA,NA,0,"process","process",-0.5,"process1",33,"0.94",1669.30449999412,"2","0.88","0.88","2","2",0
"19110",1,12,"blue","remember","blue","sheep",2015.52999999296,"larger","No","No","No",NA,NA,0,"remember","remember",0.5,"remember1",143,"0.97",1454.98,"2","0.94","0.94","2","2",0
"19110",1,13,"blue","process","red","brain",710.657000010455,"smaller","No","No","No",NA,NA,0,"remember","remember",1.5,"remember2",19,"0.25",2218.95500000322,"1","0.97","0.97","2","2",-1
"19110",1,14,"blue","process","red","robot",1706.66300000527,"smaller","No","No","No",NA,NA,0,"process","process",-0.5,"process1",138,"0.93",1512.53600003059,"2","0.25","0.25","1","1",1
"19110",1,15,"blue","remember","blue","satellite",984.292999997851,"larger","No","No","No",NA,NA,0,"process","process",-1.5,"process2",140,"0.99",1611,"2","0.93","0.93","2","2",0
"19110",1,16,"blue","process","red","dog",2755.50700000199,"smaller","No","No","No",NA,NA,0,"remember","remember",0.5,"remember1",63,"0.91",1483.62399999035,"2","0.99","0.99","2","2",0
"19110",1,17,"blue","process","red","camera",2055.39900000812,"smaller","No","No","No",NA,NA,0,"process","process",-0.5,"process1",32,"0.17",1657.88249999398,"0","0.91","0.91","2","2",-2
"19110",1,18,"blue","remember","blue","stairs",7576.43899999614,"smaller","No","No","No",NA,NA,0,"process","process",-1.5,"process2",150,"0.9",1455.46999999997,"2","0.17","0.17","0","0",2
"19110",1,19,"blue","process","red","concert",1511.22700000988,"larger","No","No","No",NA,NA,0,"remember","remember",0.5,"remember1",50,"0.99",1531.79399997438,"2","0.9","0.9","2","2",0
"19110",1,20,"blue","process","red","forest",1201.75500002076,"larger","No","No","No",NA,NA,0,"process","process",-0.5,"process1",73,"0.96",1354.68499999994,"2","0.99","0.99","2","2",0
"19110",1,21,"blue","process","red","soldier",845.326000000816,"smaller","No","No","No",NA,NA,0,"process","process",-1.5,"process2",148,"0.9",1370.8480000837,"2","0.96","0.96","2","2",0
"19110",1,22,"blue","remember","blue","universe",883.540000004257,"larger","No","No","No",1,3055.75400000525,1,"process","process",-2.5,"process3",170,"0.95",1398.19600004651,"2","0.9","0.9","2","2",0
"19110",1,23,"blue","remember","blue","pearl",607.52500001507,"smaller","No","No","No",3,876.871000018786,1,"remember","remember",0.5,"remember1",118,"0.04",1411.49400002824,"0","0.95","0.95","2","2",-2
"19110",1,24,"blue","remember","blue","shark",749.742000019294,"larger","No","No","No",2,1479.22000001388,1,"remember","remember",1.5,"remember2",142,"0.89",1310.53000000081,"2","0.04","0.04","0","0",2
"19110",1,25,"blue","remember","blue","taxi",834.303000015439,"smaller","No","No","No",NA,NA,0,"remember","remember",2.5,"remember3",158,"0.97",1475.3650000044,"2","0.89","0.89","2","2",0
"19110",1,26,"blue","remember","blue","dragon",1381.78099999845,"larger","No","No","No",NA,NA,0,"remember","remember",2.5,"remember3",64,"0.93",1498.52500010284,"2","0.97","0.97","2","2",0
"19110",1,27,"blue","process","red","cloud",693.121000015148,"smaller","No","No","No",7,10162.4060000156,1,"remember","remember",2.5,"remember3",46,"0.89",1543.56900000002,"2","0.93","0.93","2","2",0
"19110",1,28,"blue","process","red","bacon",954.422999997274,"smaller","No","No","No",NA,NA,0,"process","process",-0.5,"process1",3,"0.05",1420.73950006066,"0","0.89","0.89","2","2",-2
"19110",1,29,"blue","remember","blue","harbor",1174.48900001097,"larger","No","No","No",NA,NA,0,"process","process",-1.5,"process2",83,"0.93",1517.43300003931,"2","0.05","0.05","0","0",2
"19110",1,30,"blue","process","red","horse",699.966000001616,"smaller","No","No","No",NA,NA,0,"remember","remember",0.5,"remember1",87,"0.96",1394.81150000085,"2","0.93","0.93","2","2",0
"19110",2,1,"blue","process","red","toast",1053.31400000036,"larger","No","No","No",NA,NA,0,NA,NA,NA,NA,162,"0.03",1453.02800001146,"0",NA,NA,"2","2",-2
"19110",2,2,"blue","remember","blue","butler",1461.51000000333,"larger","No","No","No",NA,NA,0,"process","process",-0.5,"process1",29,"0.93",1655.49150000263,"2","0.03","0.03","0","0",2
"19110",2,3,"blue","process","red","spider",1053.37900001847,"smaller","No","No","No",NA,NA,0,"remember","remember",0.5,"remember1",149,"0.01",1502.68999999884,"0","0.93","0.93","2","2",-2
"19110",2,4,"blue","process","red","finger",2296.37800001277,"larger","No","No","No",NA,NA,0,"process","process",-0.5,"process1",71,"0.03",1513.66400000223,"0","0.01","0.01","0","0",0
"19110",2,5,"blue","process","red","ocean",752.844000012439,"larger","No","No","No",6,5831.98500000103,1,"process","process",-1.5,"process2",112,"0.96",1456.75249996094,"2","0.03","0.03","0","0",2
"19110",2,6,"blue","remember","blue","earth",807.928000002168,"larger","No","No","No",NA,NA,0,"process","process",-2.5,"process3",66,"0.99",1395.65499998163,"2","0.96","0.96","2","2",0
"19110",2,7,"blue","remember","blue","chair",433.683000015735,"smaller","No","No","No",NA,NA,0,"remember","remember",0.5,"remember1",37,"0.96",1689.08199999877,"2","0.99","0.99","2","2",0
"19110",2,8,"blue","process","red","nest",1440.83499999333,"smaller","No","No","No",NA,NA,0,"remember","remember",1.5,"remember2",109,"0.18",1953.1384999984,"0","0.96","0.96","2","2",-2
"19110",2,9,"blue","remember","blue","factory",599.109000014432,"larger","No","No","No",2,1439.00800002157,1,"process","process",-0.5,"process1",70,"0.94",1432.45599999957,"2","0.18","0.18","0","0",2
"19110",2,10,"blue","process","red","turtle",902.105999995139,"smaller","No","No","No",NA,NA,0,"remember","remember",0.5,"remember1",168,"0.47",2031.28700013083,"1","0.94","0.94","2","2",-1
"19110",2,11,"blue","remember","blue","passport",1801.53000000061,"smaller","No","No","No",NA,NA,0,"process","process",-0.5,"process1",116,"0.09",1438.31699995766,"0","0.47","0.47","1","1",-1
"19110",2,12,"blue","process","red","bush",1199.37099999911,"larger","No","No","No",NA,NA,0,"remember","remember",0.5,"remember1",28,"0.87",1690.481999999,"2","0.09","0.09","0","0",2
"19110",2,13,"blue","remember","blue","statue",842.236999995133,"smaller","No","No","No",NA,NA,0,"process","process",-0.5,"process1",151,"0.96",1537.21900002076,"2","0.87","0.87","2","2",0
"19110",2,14,"blue","remember","blue","cocktail",785.915000000561,"smaller","No","No","No",NA,NA,0,"remember","remember",0.5,"remember1",49,"0.03",1635.89899998892,"0","0.96","0.96","2","2",-2
"19110",2,15,"blue","process","red","couch",2703.14100000774,"larger","No","No","No",NA,NA,0,"remember","remember",1.5,"remember2",54,"0.97",1539.35100003798,"2","0.03","0.03","0","0",2
"19110",2,16,"blue","remember","blue","whistle",752.727000011655,"smaller","No","No","No",NA,NA,0,"process","process",-0.5,"process1",176,"0.03",1441.00849999982,"0","0.97","0.97","2","2",-2
"19110",2,17,"blue","remember","blue","chin",739.323000018776,"smaller","No","No","No",NA,NA,0,"remember","remember",0.5,"remember1",41,"0.05",1418.42650003088,"0","0.03","0.03","0","0",0
"19110",2,18,"blue","remember","blue","lamp",1115.59700001345,"larger","No","No","No",NA,NA,0,"remember","remember",1.5,"remember2",95,"0.61",1847.54699999926,"1","0.05","0.05","0","0",1
"19110",2,19,"blue","process","red","sink",655.223000015016,"smaller","No","No","No",NA,NA,0,"remember","remember",2.5,"remember3",145,"0.88",1538.00000000006,"2","0.61","0.61","1","1",1
"19110",2,20,"blue","process","red","cabin",852.276999995694,"larger","No","No","No",NA,NA,0,"process","process",-0.5,"process1",30,"0.96",1509.23850001342,"2","0.88","0.88","2","2",0
"19110",2,21,"blue","process","red","bridge",838.980000008654,"larger","No","No","No",NA,NA,0,"process","process",-1.5,"process2",24,"0.96",1463.52099999218,"2","0.96","0.96","2","2",0
"19110",2,22,"blue","remember","blue","soda",605.898000006971,"smaller","No","No","No",1,3507.71400001121,1,"process","process",-2.5,"process3",147,"0.1",1583.08849999862,"0","0.96","0.96","2","2",-2
"19110",2,23,"blue","remember","blue","tent",740.980000018608,"larger","No","No","No",NA,NA,0,"remember","remember",0.5,"remember1",159,"0.91",1397.86800000857,"2","0.1","0.1","0","0",2
"19110",2,24,"blue","remember","blue","bride",1166.10700002074,"smaller","No","No","No",3,1894.05099999346,1,"remember","remember",1.5,"remember2",23,"0.95",1593.96600015089,"2","0.91","0.91","2","2",0
"19110",2,25,"blue","process","red","newspaper",668.070000003674,"smaller","No","No","No",5,12749.1360000165,1,"remember","remember",2.5,"remember3",110,"0.62",1783.90599998104,"1","0.95","0.95","2","2",-1
"19110",2,26,"blue","process","red","shotgun",726.933000018413,"smaller","No","No","No",NA,NA,0,"process","process",-0.5,"process1",144,"0.51",1737.84499999983,"1","0.62","0.62","1","1",0
"19110",2,27,"blue","remember","blue","lion",840.923000008042,"larger","No","No","No",NA,NA,0,"process","process",-1.5,"process2",100,"0.97",1492.27800001407,"2","0.51","0.51","1","1",1
"19110",2,28,"blue","remember","blue","belt",713.926000013074,"smaller","No","No","No",4,1254.08700001833,1,"remember","remember",0.5,"remember1",12,"0.2",1620.95999999903,"0","0.97","0.97","2","2",-2
"19110",2,29,"blue","process","red","tunnel",988.495999996667,"larger","No","No","No",NA,NA,0,"remember","remember",1.5,"remember2",167,"0.91",1495.80600011745,"2","0.2","0.2","0","0",2
"19110",2,30,"blue","process","red","monkey",1492.87400001212,"smaller","No","No","No",NA,NA,0,"process","process",-0.5,"process1",104,"0.93",1498.48149994938,"2","0.91","0.91","2","2",0
