"ID","age","gender","consent","expectedMemory","memoryCond","instructionCond","listlength","deltaLength","numEnd","ListRecency","Position","WordPresented","WordRecalled","Inpos","Box"
10008,21,2,1,1,1,1,25,0,1,-4,1,"Tractor","Tractor",1,NA
10008,21,2,1,1,1,1,25,0,1,-4,2,"Brick","Amulet",4,NA
10008,21,2,1,1,1,1,25,0,1,-4,3,"Jumper","Pin",19,NA
10008,21,2,1,1,1,1,25,0,1,-4,4,"Amulet","Brush",14,NA
10008,21,2,1,1,1,1,25,0,1,-4,5,"Pot","Lady",10,NA
10008,21,2,1,1,1,1,25,0,1,-4,6,"Caravan","Bowl",15,NA
10008,21,2,1,1,1,1,25,0,1,-4,7,"Iguana","Helicopter",21,NA
10008,21,2,1,1,1,1,25,0,1,-4,8,"Cherry","Pot",5,NA
10008,21,2,1,1,1,1,25,0,1,-4,9,"Eye","Bracelet",11,NA
10008,21,2,1,1,1,1,25,0,1,-4,10,"Lady","Bra",18,NA
10008,21,2,1,1,1,1,25,0,1,-4,11,"Bracelet","Iguana",7,NA
10008,21,2,1,1,1,1,25,0,1,-4,12,"Gazelle","End",9,NA
10008,21,2,1,1,1,1,25,0,1,-4,13,"Bread","",27,NA
10008,21,2,1,1,1,1,25,0,1,-4,14,"Brush","",27,NA
10008,21,2,1,1,1,1,25,0,1,-4,15,"Bowl","",27,NA
10008,21,2,1,1,1,1,25,0,1,-4,16,"Mouse","",27,NA
10008,21,2,1,1,1,1,25,0,1,-4,17,"Comet","",27,NA
10008,21,2,1,1,1,1,25,0,1,-4,18,"Bra","",27,NA
10008,21,2,1,1,1,1,25,0,1,-4,19,"Pin","",27,NA
10008,21,2,1,1,1,1,25,0,1,-4,20,"Zucchini","",27,NA
10008,21,2,1,1,1,1,25,0,1,-4,21,"Helicopter","",27,NA
10008,21,2,1,1,1,1,25,0,1,-4,22,"Ruby","",27,NA
10008,21,2,1,1,1,1,25,0,1,-4,23,"Foot","",27,NA
10008,21,2,1,1,1,1,25,0,1,-4,24,"Grater","",27,NA
10008,21,2,1,1,1,1,25,0,1,-4,25,"Wardrobe","",27,NA
10008,21,2,1,1,1,1,25,0,1,-3,1,"Antelope","Antelope",1,NA
10008,21,2,1,1,1,1,25,0,1,-3,2,"Bee","Arm",13,NA
10008,21,2,1,1,1,1,25,0,1,-3,3,"Oboe","Stallion",11,NA
